,Animal,Day,Experimental condition,Stimulus class,Stimulus orientation,Frame,Width
449,Naive,D1,Tuning,,90,5,40
450,Naive,D1,Tuning,,90,6,40
451,Naive,D1,Tuning,,90,7,38
452,Naive,D1,Tuning,,90,8,41
453,Naive,D1,Tuning,,90,9,39
454,Naive,D1,Tuning,,90,10,40
455,Naive,D1,Tuning,,90,11,42
456,Naive,D1,Tuning,,90,12,38
457,Naive,D1,Tuning,,90,13,38
458,Naive,D1,Tuning,,90,14,45
459,Naive,D1,Tuning,,90,15,32
460,Naive,D1,Tuning,,90,16,47
461,Naive,D1,Tuning,,90,17,42
462,Naive,D1,Tuning,,90,18,40
463,Naive,D1,Tuning,,90,19,41
464,Naive,D1,Tuning,,90,20,40
465,Naive,D1,Tuning,,90,21,42
466,Naive,D1,Tuning,,90,22,36
467,Naive,D1,Tuning,,90,23,40
468,Naive,D1,Tuning,,90,24,37
469,Naive,D1,Tuning,,90,25,35
470,Naive,D1,Tuning,,90,26,28
471,Naive,D1,Tuning,,90,27,36
472,Naive,D1,Tuning,,90,28,40
473,Naive,D1,Tuning,,90,30,40
474,Naive,D1,Tuning,,120,0,36
475,Naive,D1,Tuning,,120,1,34
476,Naive,D1,Tuning,,120,2,45
477,Naive,D1,Tuning,,120,3,37
478,Naive,D1,Tuning,,120,4,35
479,Naive,D1,Tuning,,120,5,35
480,Naive,D1,Tuning,,120,6,44
481,Naive,D1,Tuning,,120,7,35
482,Naive,D1,Tuning,,120,8,42
483,Naive,D1,Tuning,,120,9,40
484,Naive,D1,Tuning,,120,10,36
485,Naive,D1,Tuning,,120,11,38
486,Naive,D1,Tuning,,120,12,42
487,Naive,D1,Tuning,,120,13,39
488,Naive,D1,Tuning,,120,14,39
489,Naive,D1,Tuning,,120,15,37
490,Naive,D1,Tuning,,120,16,36
491,Naive,D1,Tuning,,120,17,49
492,Naive,D1,Tuning,,120,18,35
493,Naive,D1,Tuning,,120,19,30
494,Naive,D1,Tuning,,120,20,38
495,Naive,D1,Tuning,,120,21,46
496,Naive,D1,Tuning,,120,22,37
497,Naive,D1,Tuning,,120,23,33
498,Naive,D1,Tuning,,120,24,35
499,Naive,D1,Tuning,,120,25,37
500,Naive,D1,Tuning,,120,26,29
501,Naive,D1,Tuning,,120,27,54
502,Naive,D1,Tuning,,150,0,32
503,Naive,D1,Tuning,,150,1,30
504,Naive,D1,Tuning,,150,2,32
505,Naive,D1,Tuning,,150,3,46
506,Naive,D1,Tuning,,150,4,45
507,Naive,D1,Tuning,,150,5,49
508,Naive,D1,Tuning,,150,6,49
509,Naive,D1,Tuning,,150,7,45
510,Naive,D1,Tuning,,150,8,51
511,Naive,D1,Tuning,,150,9,34
512,Naive,D1,Tuning,,150,10,43
513,Naive,D1,Tuning,,150,11,41
514,Naive,D1,Tuning,,150,12,52
515,Naive,D1,Tuning,,150,13,51
516,Naive,D1,Tuning,,150,14,46
517,Naive,D1,Tuning,,150,15,58
518,Naive,D1,Tuning,,150,16,53
519,Naive,D1,Tuning,,150,17,35
520,Naive,D1,Tuning,,150,18,49
521,Naive,D1,Tuning,,150,19,50
522,Naive,D1,Tuning,,150,20,44
523,Naive,D1,Tuning,,150,21,43
524,Naive,D1,Tuning,,150,22,43
525,Naive,D1,Tuning,,150,23,50
526,Naive,D1,Tuning,,150,24,31
527,Naive,D1,Tuning,,150,30,35
528,Naive,D1,Tuning,,180,0,43
529,Naive,D1,Tuning,,180,1,30
530,Naive,D1,Tuning,,180,2,42
